"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"Guatemala",7.58,7.5,7.58,1,1901,2017,"Poor"
"Taiwan",7.92,7.75,7.67,0,1000,2016,"Good"
"Brazil",7.83,7.83,7.67,3,1250,2012,"Good"
"Colombia",7.5,7.75,7.75,0,1450,2011,"Good"
"Guatemala",6.17,6.5,7.17,5,NA,NA,"Poor"
"El Salvador",7.33,7.17,7.08,1,1450,2013,"Poor"
"Thailand",7.83,8.33,8.25,9,1300,2012,"Good"
"Mexico",7.83,7.75,7.58,2,1261,2015,"Good"
"Colombia",7.5,7.58,7.75,2,1775,2014,"Good"
"Guatemala",7.08,6.92,7,15,1310.64,2013,"Poor"
"Nicaragua",7.08,6.92,7.25,2,900,2015,"Poor"
"Brazil",7.67,7.42,7.58,4,890,2018,"Good"
"Thailand",7.33,7.33,7.5,0,NA,2011,"Poor"
"Honduras",7.58,7.42,7.42,4,1350,2015,"Poor"
"Mexico",7.33,6.75,7.25,30,1250,2012,"Poor"
"Brazil",7.42,7.42,7.42,3,NA,2013,"Poor"
"Mexico",7.67,7.33,7.17,1,1550,2014,"Poor"
"Brazil",7.25,7.5,7.17,0,1100,2015,"Poor"
"Brazil",7.58,7.5,7.75,4,975,2011,"Good"
"Brazil",8.5,8.5,8,2,1250,2011,"Good"
"Guatemala",7.67,7.83,8,4,1524,2012,"Good"
"Mexico",7.42,7.25,7.75,7,1800,2012,"Poor"
"United States (Hawaii)",7.33,7.5,7.58,2,NA,2012,"Poor"
"Colombia",7.67,7.58,7.58,1,1550,2014,"Good"
"Taiwan",8.08,8.17,8.08,0,1000,2015,"Good"
"Tanzania, United Republic Of",8,7.83,7.92,2,1620,2014,"Good"
"Brazil",7.25,7.25,7.5,9,NA,NA,"Poor"
"United States (Hawaii)",7.25,7.58,7.67,12,NA,NA,"Poor"
"Brazil",7.25,7.33,7.25,8,1200,2015,"Poor"
"Honduras",7.25,7.42,7.42,0,1450,2016,"Poor"
"Brazil",7.25,7.33,7.33,14,1100,2016,"Poor"
"Haiti",7.42,7.33,7.42,0,825,2013,"Poor"
"Guatemala",7.75,7.58,7.67,14,1600,NA,"Good"
"Taiwan",7.67,7.5,7.17,0,800,2012,"Poor"
"Tanzania, United Republic Of",7.33,7.17,7.5,5,1700,2014,"Poor"
"Mexico",7.75,7.92,7.92,2,1400,2012,"Good"
"Uganda",7.75,7.58,7.5,4,1400,2013,"Good"
"Uganda",7.33,7.58,7.75,1,1600,2013,"Poor"
"Ethiopia",8.67,8.67,8.42,0,1635,2010,"Good"
"Guatemala",7.83,7.5,8,5,1524,2012,"Good"
"Colombia",7.75,7.58,7.25,3,1800,2012,"Good"
"Uganda",8.08,8.08,7.92,0,NA,2014,"Good"
"Uganda",8.08,8,7.67,5,1950,2013,"Good"
"Colombia",7.75,7.58,7.83,1,1775,2014,"Good"
"Guatemala",7.83,7.5,8,2,NA,2012,"Good"
"Nicaragua",7.58,7.83,7.92,0,NA,NA,"Good"
"El Salvador",7.67,7.67,7.67,7,1200,2016,"Good"
"Colombia",7.67,7.83,8,2,1750,2012,"Good"
"Mexico",7.17,6.92,7.08,34,1450,2012,"Poor"
"Indonesia",7.75,7.83,7.75,0,1250,2015,"Poor"
"Taiwan",7.42,7.33,7.33,0,900,2014,"Poor"
"Costa Rica",8.08,8.25,8.17,2,1300,2014,"Good"
"Brazil",7.33,7.17,7.67,3,NA,NA,"Poor"
"Mexico",7.75,7.58,7.75,1,1400,2011,"Good"
"Indonesia",7.81,7.88,7.75,0,NA,2017,"Good"
"Colombia",7.58,7.75,7.83,5,NA,2016,"Good"
"Brazil",7.81,7.81,7.75,4,NA,NA,"Good"
"Kenya",7.92,7.83,7.92,0,1800,2014,"Good"
"Costa Rica",7.33,7.33,7.25,0,1300,2014,"Poor"
"Guatemala",7.42,7.25,7.25,4,1450,2012,"Poor"
"Uganda",7.92,7.83,7.92,3,1775,2012,"Good"
"Colombia",7.75,7.58,7.75,5,1799,2016,"Good"
"Mexico",7.67,7.58,7.58,2,1650,2012,"Poor"
"Guatemala",7.58,7.67,7.42,1,1700,2017,"Poor"
"Guatemala",7.5,7.17,7.5,3,1219.2,2014,"Poor"
"Mexico",7,6.83,7.42,30,800,2012,"Poor"
"Costa Rica",7.33,7.08,7.25,3,1300,2014,"Poor"
"Colombia",8,7.67,7.25,1,1880,2010,"Good"
"Ethiopia",8.17,8.33,8.33,2,NA,NA,"Good"
"Mexico",7.5,7.42,7.67,5,1560,2013,"Poor"
"Guatemala",7.5,7.42,7.83,6,1676.4,2015,"Poor"
"Mexico",7.08,6.83,7.17,12,1250,2012,"Poor"
